DELTA_E_AI,RECOMB_STRENGTH,INITAL_NAME,TRANSIENT_NAME,CHARGE_STATE
69395.0,0.2593950779494706,1s+2 2s+2 2p-2 2p+2(4)4,1s+1(1)1 2s+2 2p-2 2p+4,82
69079.0,0.4904056876206967,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)4,83
69139.0,0.2559438375795533,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)2,83
72757.0,6.211199857211266e-06,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)2 2p+4,83
72852.0,1.530699965938811e-06,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)0 2p+4,83
73222.0,1.5436999200158038e-05,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)2 2p-2 2p+4,83
73456.0,2.57239933335874e-05,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)0 2p-2 2p+4,83
68777.0,0.911819614122592,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)5,84
68852.0,0.4756178415116382,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)3,84
68890.0,0.15444755920517617,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(0)1,84
72487.0,2.292399999612216e-07,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)5,84
72499.0,1.4582999799834706e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)3,84
72529.0,4.391799999976518e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)1,84
72612.0,1.7814999721136606e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+3(3)3,84
72834.0,2.9330999999945817e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)5,84
72939.0,1.7953999798169797e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)3,84
73009.0,3.10919989265877e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)1,84
73138.0,0.00011552998931841984,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+3(3)3,84
76289.0,9.138899999844572e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p+4,84
76605.0,3.004999999934735e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+4,84
76628.0,1.292599999972652e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+4,84
76868.0,7.138699999153096e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+4,84
77191.0,1.3033999997758842e-07,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2p-2 2p+4,84
64894.0,1.2304190388220089,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)4,85
64955.0,1.1923187122822672,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)2,85
68590.0,0.5428096538862163,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)6,85
68602.0,0.38349542206466924,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)4,85
68645.0,0.18631041560253514,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)2,85
68697.0,0.12101933672112647,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(0)2,85
68730.0,0.3194744091485596,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(4)4,85
68793.0,0.04023636796028503,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(0)0,85
68850.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)6,85
68977.0,2.4623999993424405e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)4,85
69025.0,3.733699668712591e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(0)2,85
69072.0,1.7433999995269028e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)2,85
69182.0,7.735199999030653e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(4)4,85
69262.0,0.00026340951574803,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(0)0,85
72416.0,6.322499989047733e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)4,85
72477.0,1.527299952990511e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)2,85
72625.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)6,85
72630.0,3.160599998088802e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)4,85
72717.0,2.799599986128733e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)2,85
72746.0,2.4041999248798847e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)4,85
72784.0,9.910799527216853e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)0,85
72804.0,2.6695998781809667e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)2,85
72951.0,6.607899329780666e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)4,85
72964.0,5.027299155824669e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)2,85
73182.0,1.0545999998313684e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)4,85
73242.0,1.6050999999617418e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)2,85
76510.0,1.5972999999374083e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p+4,85
76745.0,4.207699998648586e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p+4,85
76927.0,1.0011999998071082e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)2 2p+4,85
77023.0,3.3717999991434536e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)0 2p+4,85
60905.0,0.5257075814733209,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-2,86
64624.0,2.394707166699449,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)5,86
64638.0,0.3216593895200929,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)3,86
64669.0,0.019697375368028573,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)1,86
64752.0,2.1325038010946997,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+1(3)3,86
64830.0,8.907199999990502e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)5,86
64939.0,0.0019235969566882755,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)3,86
65009.0,0.004530170705958101,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)1,86
65140.0,0.026467134621579565,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+1(3)3,86
68434.0,0.9718040330747765,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)5,86
68511.0,0.5040712143713811,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)3,86
68551.0,0.1675396981560591,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(0)1,86
68561.0,5.282499999961856e-09,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(4)5,86
68668.0,7.075699964162802e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)3,86
68706.0,6.890799999996944e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)5,86
68729.0,9.170699129634067e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(0)3,86
68755.0,6.269599900274856e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(0)1,86
68763.0,8.579599990578782e-07,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)1,86
68785.0,3.3447999920988946e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)3,86
68911.0,4.1638999998570466e-08,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)5,86
68928.0,1.2675999999689626e-08,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)3,86
68997.0,0.0005056893498413886,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(0)1,86
69063.0,0.0001264999852527867,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)5,86
69140.0,5.920999796540256e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)3,86
69183.0,9.915598252025445e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(0)1,86
72442.0,3.0493999999989545e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)5,86
72549.0,2.041499963440655e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)3,86
72620.0,3.782199787683827e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)1,86
72750.0,0.00013273997637809772,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p+3(3)3,86
72840.0,1.0483999999196522e-07,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)5,86
72853.0,8.927799999258552e-08,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)3,86
72883.0,2.5813999999991997e-10,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)1,86
72968.0,1.5515999999791516e-08,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)0 2p+3(3)3,86
76729.0,1.4739999995999695e-07,1s+2 2s+2(0)0,1s+1(1)1 2p+4,86
60375.0,1.3937320116311458,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)2,87
60473.0,0.2097640910575127,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)0,87
60561.0,0.21673258963113728,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-2,87
60802.0,0.07368391081847372,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-2,87
64215.0,0.8562423022023271,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)4,87
64277.0,0.220274326842299,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)2,87
64285.0,1.435383010101537,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)6,87
64290.0,0.050196742497461144,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+1(3)4,87
64381.0,0.06613750892680134,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)2,87
64409.0,1.3525405283664378,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)4,87
64450.0,0.0038349047620897378,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)0,87
64469.0,0.8034252858368012,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)2,87
64617.0,1.2398820529923065,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)4,87
64631.0,0.11995048227259196,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)2,87
64709.0,0.026193023156479398,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)4,87
64772.0,0.006238327235024011,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)2,87
68122.0,0.6011753211295846,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)6,87
68251.0,0.34473672411220385,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)4,87
68300.0,0.11541322530105474,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(0)2,87
68347.0,0.18157845051183277,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)2,87
68457.0,0.3886834295153931,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(4)4,87
68478.0,4.1778999999609925e-09,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)4,87
68522.0,1.59319999957315e-07,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)2,87
68540.0,0.039126711823701,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(0)0,87
68579.0,0.00021332987580960732,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(0)2,87
68609.0,4.7469999996639384e-08,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(4)4,87
68677.0,0.00010530985503040668,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(0)0,87
72381.0,7.498098474861203e-05,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)4,87
72443.0,1.8875999294557396e-05,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)2,87
60009.0,2.6011593886400326,1s+2(0)0,1s+1(1)1 2s+2,88
60050.0,0.2553115119738405,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3,88
60078.0,0.08600932018959445,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1,88
60324.0,3.7162532140038724,1s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1,88
60372.0,0.021432437686074557,1s+2(0)0,1s+1(1)1 2p-2,88
63889.0,0.0,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)5,88
64000.0,0.14603864006771475,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)3,88
64071.0,0.3728411658754931,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p+1(3)1,88
64147.0,2.552763143824031,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)5,88
64161.0,0.3451361396916369,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)3,88
64193.0,0.021070303285890192,1s+2(0)0,1s+1(1)1 2p-1(1)2 2p+1(3)1,88
64204.0,1.9099054577225179,1s+2(0)0,1s+1(1)1 2s+1(1)0 2p+1(3)3,88
64278.0,2.278647200147824,1s+2(0)0,1s+1(1)1 2p-1(1)0 2p+1(3)3,88
68046.0,1.0262425190928888,1s+2(0)0,1s+1(1)1 2p+2(4)5,88
68124.0,0.5311530129655218,1s+2(0)0,1s+1(1)1 2p+2(4)3,88
68168.0,0.1416462239694443,1s+2(0)0,1s+1(1)1 2p+2(0)1,88
