DELTA_E_AI,RECOMB_STRENGTH,INITAL_NAME,TRANSIENT_NAME,CHARGE_STATE
71325.0,0.24998084312223745,1s+2 2s+2 2p-2 2p+2(4)4,1s+1(1)1 2s+2 2p-2 2p+4,83
71005.0,0.471948473059561,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)4,84
71065.0,0.24534207172123193,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)2,84
74886.0,5.327399896730146e-06,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)2 2p+4,84
74986.0,1.4086999716682965e-06,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)0 2p+4,84
75358.0,1.405799934791252e-05,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)2 2p-2 2p+4,84
75598.0,2.338299458455326e-05,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)0 2p-2 2p+4,84
70699.0,0.879225315482152,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)5,85
70775.0,0.4556708685460781,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)3,85
70815.0,0.14570289830469968,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(0)1,85
74614.0,2.814499999425083e-07,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)5,85
74627.0,1.2566999855262988e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)3,85
74657.0,5.325199999996606e-10,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)1,85
74744.0,1.5540999789551285e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+3(3)3,85
74965.0,2.8506999999949655e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)5,85
75072.0,1.636999983498935e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)3,85
75143.0,2.8375999120816847e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)1,85
75278.0,0.00010468999137617337,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+3(3)3,85
78625.0,8.426699999869987e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p+4,85
78942.0,2.537099999954199e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+4,85
78968.0,1.1588999999783848e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+4,85
79215.0,6.542499999299584e-08,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+4,85
79538.0,1.1691999998224717e-07,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2p-2 2p+4,85
66613.0,1.1956325503767937,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)4,86
66674.0,1.1702658457541593,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)2,86
70513.0,0.5232818020023494,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)6,86
70526.0,0.36780315658225465,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)4,86
70569.0,0.1784862917073975,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)2,86
70622.0,0.11408450357380129,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(0)2,86
70657.0,0.3073269203017669,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(4)4,86
70723.0,0.03792115114803375,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(0)0,86
70777.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)6,86
70906.0,2.3649999994037066e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)4,86
70954.0,3.407499728984386e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(0)2,86
71001.0,1.7293999995428318e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)2,86
71117.0,7.21929999917082e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(4)4,86
71199.0,0.00024790957819586173,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(0)0,86
74550.0,5.189099992749616e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)4,86
74611.0,1.33129996489629e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)2,86
74758.0,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)6,86
74765.0,2.540599998794205e-07,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)4,86
74853.0,2.62149998805093e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)2,86
74882.0,2.2045999375736835e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)4,86
74920.0,9.000999616503272e-06,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)0,86
74941.0,2.416099901881001e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)2,86
75094.0,5.966799463026588e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)4,86
75108.0,4.558399317033938e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)2,86
75325.0,9.683499998601199e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)4,86
75386.0,1.3059999999750952e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-2 2p+3(3)2,86
78854.0,1.3445999999563419e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p+4,86
79097.0,3.848699998888388e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p+4,86
79276.0,8.965399998477194e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)2 2p+4,86
79378.0,3.0196999993242876e-08,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2p-1(1)0 2p+4,86
62414.0,0.5200641097898694,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-2,87
66339.0,2.3267405565166555,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)5,87
66354.0,0.33753901550242116,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)3,87
66384.0,0.019866376512436574,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+1(3)1,87
66472.0,2.069111651429792,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+1(3)3,87
66548.0,8.475799999991563e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)5,87
66658.0,0.001852597227366307,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)3,87
66730.0,0.004411872756859772,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+1(3)1,87
66866.0,0.025885187325257467,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+1(3)3,87
70360.0,0.9355352980751177,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)5,87
70438.0,0.4826421016438628,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(4)3,87
70479.0,0.15782135988764878,1s+2 2s+2(0)0,1s+1(1)1 2s+2 2p+2(0)1,87
70487.0,5.117299999965279e-09,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(4)5,87
70595.0,6.5614999697271015e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)3,87
70634.0,5.605799999998e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)5,87
70656.0,8.334299293777148e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(0)3,87
70685.0,6.604799891906775e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+2(0)1,87
70690.0,6.263399995057718e-07,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)1,87
70713.0,3.0583999935201118e-06,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+2(4)3,87
70845.0,3.9287999998751964e-08,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)5,87
70864.0,1.2083999999722267e-08,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(4)3,87
70933.0,0.00047464943644498134,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+2(0)1,87
70996.0,0.00013849998261799597,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)5,87
71074.0,6.546199755695623e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(4)3,87
71118.0,9.894698289513289e-05,1s+2 2s+2(0)0,1s+1(1)1 2p-2 2p+2(0)1,87
74578.0,2.844699999999106e-10,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)5,87
74687.0,1.850399970459098e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)3,87
74759.0,3.436399827639783e-05,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)2 2p+3(3)1,87
74895.0,0.00012010998102839896,1s+2 2s+2(0)0,1s+1(1)1 2s+1(1)0 2p+3(3)3,87
74981.0,9.814899999307168e-08,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)5,87
74995.0,7.656099999468882e-08,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)3,87
75025.0,5.84649999999596e-10,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)2 2p+3(3)1,87
75114.0,1.095099999989699e-08,1s+2 2s+2(0)0,1s+1(1)1 2p-1(1)0 2p+3(3)3,87
79083.0,1.315299999686511e-07,1s+2 2s+2(0)0,1s+1(1)1 2p+4,87
61875.0,1.4135250012208331,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)2,88
61978.0,0.22380079975016137,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p-1(1)0,88
62063.0,0.2134628351033526,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-2,88
62312.0,0.07252704230362,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-2,88
65927.0,0.8407108988178075,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)4,88
65990.0,0.21726106243849952,1s+2 2s+1(1)1,1s+1(1)1 2s+2 2p+1(3)2,88
65995.0,1.395533805138678,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)6,88
66002.0,0.04981450175697014,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+1(3)4,88
66094.0,0.060861282922603364,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)2,88
66122.0,1.3207460135925524,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)4,88
66163.0,0.003945201148348378,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)0,88
66183.0,0.7922567199089564,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+1(3)2,88
66337.0,1.2112569199456298,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)4,88
66351.0,0.11704923907840847,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+1(3)2,88
66427.0,0.025935095608181462,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)4,88
66490.0,0.006225428876246126,1s+2 2s+1(1)1,1s+1(1)1 2p-2 2p+1(3)2,88
70044.0,0.5781883680696687,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)6,88
70175.0,0.33074504234254265,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)4,88
70226.0,0.10876049235879306,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(0)2,88
70273.0,0.1742153234419337,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)2 2p+2(4)2,88
70389.0,0.37385589151082205,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(4)4,88
70405.0,9.258999999815122e-09,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)4,88
70449.0,1.496499999630002e-07,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(4)2,88
70473.0,0.036869326831362376,1s+2 2s+1(1)1,1s+1(1)1 2s+1(1)0 2p+2(0)0,88
70507.0,0.000199919892813095,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)2 2p+2(0)2,88
70539.0,4.576199999689553e-08,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(4)4,88
70610.0,9.85028755217169e-05,1s+2 2s+1(1)1,1s+1(1)1 2p-1(1)0 2p+2(0)0,88
74522.0,6.778398774526217e-05,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)4,88
74584.0,1.718199942538031e-05,1s+2 2s+1(1)1,1s+1(1)1 2p+3(3)2,88
61505.0,2.622784224100139,1s+2(0)0,1s+1(1)1 2s+2,89
61544.0,0.24760387874534356,1s+2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3,89
