DELTA_E_AI,RECOMB_STRENGTH,INITAL_NAME,TRANSIENT_NAME,CHARGE_STATE
5872.7,1.0828534477254823,1s+2 2s+2 2p-2 2p+2(4)4,1s+1(1)1 2s+2 2p-2 2p+4,20
5795.100000000001,1.4631730750341965,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)4,21
5804.400000000001,0.7044456886162249,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-2 2p+3(3)2,21
5817.4,0.009660451805065936,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)0 2p+4,21
5826.7,0.22330205620921922,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+2 2p-1(1)2 2p+4,21
5927.5,0.0022263190465640287,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)2 2p-2 2p+4,21
5958.3,0.004060710457437465,1s+2 2s+2 2p-2 2p+1(3)3,1s+1(1)1 2s+1(1)0 2p-2 2p+4,21
5704.6,10.002259383295215,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)5,22
5717.5,3.5037388800882034,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)3,22
5720.0,2.0553654830560073,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(0)1,22
5734.900000000001,2.677718535340018,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)3,22
5741.6,0.059379466336001434,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)5,22
5746.7,0.6495663177496928,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)1,22
5750.099999999999,1.032941978632478,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)3,22
5771.4,0.00443981317969802,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p+4,22
5813.5,3.905199999900264e-09,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)5,22
5823.400000000001,0.01305840033383672,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)3,22
5832.3,0.005350860032682071,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+4,22
5856.0,0.030876633016839464,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-2 2p+3(3)3,22
5860.9,0.010927814148497144,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-2 2p+3(3)1,22
5877.900000000001,0.016128940701254302,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+4,22
5887.099999999999,0.0013486646526788821,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+4,22
5984.0,0.0005880753341470746,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2p-2 2p+4,22
5599.7,1.2514211811021876,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)4,23
5626.400000000001,7.3834415299357765,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-2 2p+1(3)2,23
5630.6,10.371734941047748,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(4)4,23
5636.2,6.148733476709975,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)6,23
5643.599999999999,1.3019775529349056,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)2,23
5649.6,1.0235317938781272,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)0 2p+2(0)0,23
5651.2,4.884635648488771,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(4)4,23
5653.099999999999,2.7724774805545236,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p-1(1)2 2p+2(0)2,23
5667.3,1.0836937536644873,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)4,23
5679.199999999999,0.9159584367273627,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+2 2p+3(3)2,23
5680.8,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)6,23
5693.199999999999,5.6458911037832624e-05,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)4,23
5698.099999999999,0.0010754460346441206,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(0)2,23
5729.699999999999,0.0037583743222326356,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)4,23
5732.900000000001,0.005284086381338216,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(4)2,23
5738.2,0.0,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)6,23
5739.800000000001,0.004115074885569987,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-2 2p+2(4)4,23
5744.5,0.002727579787115057,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)1 2p+3(3)2,23
5745.6,0.011143109510876633,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)0,23
5762.099999999999,0.050486496601558524,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-2 2p+2(0)2,23
5762.599999999999,0.001350868703607398,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)4,23
5772.8,0.04729026174597983,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)2 2p-1(1)3 2p+3(3)0,23
5775.599999999999,0.07114854160605671,1s+2 2s+2 2p-1(1)1,1s+1(1)1 2s+1(1)0 2p-1(1)1 2p+3(3)4,23
