DELTA_E_AI,RECOMB_STRENGTH,INITAL_NAME,TRANSIENT_NAME,CHARGE_STATE
662.16,0.0013131835815496074,1s+2 2s+2 2p-2 2p+2(4)4,1s+1(1)1 2s+2 2p-2 2p+4,1
648.14,0.00038624760492878327,1s+2 2s+2 2p-1(1)1 2p+2(4)3,1s+1(1)1 2s+2 2p-2 2p+3(3)4,2
648.2,0.00022102408844935792,1s+2 2s+2 2p-1(1)1 2p+2(4)3,1s+1(1)1 2s+2 2p-1(1)2 2p+4,2
648.26,4.6334624572268416e-05,1s+2 2s+2 2p-1(1)1 2p+2(4)3,1s+1(1)1 2s+2 2p-1(1)0 2p+4,2
651.59,0.0002967420340602364,1s+2 2s+2 2p-1(1)1 2p+2(4)3,1s+1(1)1 2s+2 2p-2 2p+3(3)2,2
671.88,3.4231908101557245e-06,1s+2 2s+2 2p-1(1)1 2p+2(4)3,1s+1(1)1 2s+1(1)2 2p-2 2p+4,2
677.72,6.06961600628554e-06,1s+2 2s+2 2p-1(1)1 2p+2(4)3,1s+1(1)1 2s+1(1)0 2p-2 2p+4,2
625.42,3.677792177577492,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)5,3
625.51,1.7008090172457035,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+3(3)3,3
625.53,1.0951176622143943,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p+4,3
630.78,3.669783467413097e-05,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)5,3
630.81,0.17111209098592603,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)0 2p+3(3)3,3
631.38,7.605235181963065,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-2 2p+2(4)3,3
631.44,1.9421808357373522,1s+2 2s+2 2p-2(0)0,1s+1(1)1 2s+2 2p-1(1)2 2p+3(3)1,3
